Datum;Von;bis;MW;Onshore MW;Offshore MW
01.01.24;00:00;00:15;8886,97;8085,7;801,27
01.01.24;00:15;00:30;8696,97;7967,58;729,39
01.01.24;00:30;00:45;8643,26;8031,2;612,07
01.01.24;00:45;01:00;8728,96;8208,25;520,71
01.01.24;01:00;01:15;8651,8;8150,66;501,15
01.01.24;01:15;01:30;8730,54;8302,05;428,5
01.01.24;01:30;01:45;8430,13;8080,73;349,4
01.01.24;01:45;02:00;8518,76;8187,31;331,45
01.01.24;02:00;02:15;8458,58;8072,07;386,51
01.01.24;02:15;02:30;8507,65;8124,66;382,99
01.01.24;02:30;02:45;8707,32;8362,89;344,44
01.01.24;02:45;03:00;8732,33;8413,36;318,96
01.01.24;03:00;03:15;8610,68;8301,44;309,24
01.01.24;03:15;03:30;8427,32;8137,62;289,7
01.01.24;03:30;03:45;8328,41;8027,11;301,3
01.01.24;03:45;04:00;8317,47;7988,6;328,87
01.01.24;04:00;04:15;8433,3;8094,44;338,85
01.01.24;04:15;04:30;8534,83;8217,78;317,06
01.01.24;04:30;04:45;8475,58;8143,5;332,08
01.01.24;04:45;05:00;8258,04;7933,1;324,94
01.01.24;05:00;05:15;8093,69;7773,03;320,66
01.01.24;05:15;05:30;7942,24;7645,1;297,14
01.01.24;05:30;05:45;7733,22;7463,3;269,91
01.01.24;05:45;06:00;7697,67;7411,57;286,09
01.01.24;06:00;06:15;7807,48;7530,99;276,5
01.01.24;06:15;06:30;7627,06;7326,02;301,04
01.01.24;06:30;06:45;7392,46;7126,5;265,96
01.01.24;06:45;07:00;7386,3;7125,3;261,01
01.01.24;07:00;07:15;7451,58;7174,54;277,04
01.01.24;07:15;07:30;7444,28;7179,97;264,31
01.01.24;07:30;07:45;7510,41;7265,23;245,18
01.01.24;07:45;08:00;7608,87;7401,04;207,84
01.01.24;08:00;08:15;7914,54;7700,82;213,73
01.01.24;08:15;08:30;7897,99;7731,04;166,95
01.01.24;08:30;08:45;7986,17;7847,3;138,87
01.01.24;08:45;09:00;8032,4;7897,92;134,49
01.01.24;09:00;09:15;8001,49;7877,46;124,03
01.01.24;09:15;09:30;8055,84;7940,52;115,32
01.01.24;09:30;09:45;8070,87;7942,48;128,39
01.01.24;09:45;10:00;8039,4;7914,38;125,02
01.01.24;10:00;10:15;7949,88;7817,31;132,57
01.01.24;10:15;10:30;7952,27;7825,66;126,61
01.01.24;10:30;10:45;7975,3;7842,72;132,58
01.01.24;10:45;11:00;7866,42;7734,21;132,21
01.01.24;11:00;11:15;7589,06;7467,32;121,75
01.01.24;11:15;11:30;7694,01;7583;111
01.01.24;11:30;11:45;7747,79;7624,31;123,49
01.01.24;11:45;12:00;7738,65;7624,63;114,02
01.01.24;12:00;12:15;7723,14;7626,39;96,75
01.01.24;12:15;12:30;7513,36;7410,33;103,03
